Question ID,Category,Question Text,Answer Text,CPA Reviewed,Reference Law,Notes
Q011,Bookkeeping,What entry do I make when issuing SAFEs to investors?,"A SAFE usually represents an equity-classified instrument absent redemption features, so record Dr Cash / Cr SAFE Equity while disclosing its potential conversion, because there is typically no repayment obligation; if terms include put features or debt-like traits classification may differ, necessitating professional review.",Done,"Reference Law: ASC 480-10-25 and AICPA TQA Section 1, Question 6",For SaaS Startup 
Q012,Bookkeeping,How do I record equity-based compensation (stock options)?,"Stock-option grants are expensed at fair value over the vesting period, so each month book Dr Compensation Expense / Cr Additional Paid-In Capital, because GAAP views equity instruments issued for services as compensation even without cash outlay, ensuring labor costs are fully reflected in earnings.",Done,Reference Law: ASC 718-10-30,For SaaS Startup 
Q013,Bookkeeping,How should I account for a contractor invoice that hasn’t been paid yet?,"An unpaid contractor invoice should be accrued: Dr Contractor Expense / Cr Accounts Payable on the service date, then relieved upon payment, because expenses must be recognized when incurred regardless of payment timing, preserving expense matching and liability completeness.",Done,Reference Law: ASC 705-20 (services received) and ASC 405-20 (AP),For SaaS Startup 
Q014,Bookkeeping,What’s the difference in journal entries between cash and accrual basis for us?,"Under cash basis you record entries only when cash moves, whereas accrual basis records revenues when earned and expenses when incurred, so the same transaction might hit revenue immediately under accrual but be delayed under cash; choose based on GAAP requirements and tax eligibility, noting that accrual provides a clearer performance picture.",Done,Reference Law: ASC 105 (GAAP hierarchy) and IRC §448 (cash-method limitations),For SaaS Startup 
Q015,Bookkeeping,How do I book a payment for annual liability insurance coverage?,"Annual liability-insurance premiums paid upfront should be capitalized as Prepaid Insurance (asset) and amortized monthly by Dr Insurance Expense / Cr Prepaid Insurance, aligning cost with the coverage period instead of overstating one month’s expenses.",Done,Reference Law: ASC 720-20-25,For SaaS Startup 
Q016,Bookkeeping,What’s the proper entry for a monthly Zoom subscription?,"A monthly Zoom subscription is typically immaterial in duration, so expense it as incurred—Dr Software Subscription Expense / Cr Credit Card Payable—simplifying bookkeeping while correctly hitting profit and loss in the month of use.",Done,Reference Law: ASC 720-15,For SaaS Startup 
Q017,Bookkeeping,How do I record revenue that includes sales tax in certain states?,"When revenue includes sales tax, record Dr Cash for the gross amount, Cr Sales Revenue for the net, and Cr Sales Tax Payable for the tax portion, because sales tax is a liability you collect on behalf of states, not revenue, preventing overstatement of earnings.",Done,Reference Law: ASC 606-10-32-2 (principal vs. agent) and state tax regs,For SaaS Startup 
Q018,Bookkeeping,Should I accrue expenses for unpaid invoices at month-end?,"Accruing unpaid vendor invoices at month-end requires estimating and recording Dr Expense / Cr Accrued Liability to capture incurred costs in the proper period, avoiding understated expenses and overstated profit.",Done,Reference Law: ASC 450-20-25 (accruals),For SaaS Startup 
Q019,Bookkeeping,How do I treat expenses reimbursed by employees (e.g. via Expensify)?,"Employee-reimbursed expenses should be booked Dr Expense / Cr Employee Reimbursements Payable upon submission, then Dr Employee Reimbursements Payable / Cr Cash when paid, ensuring the expense hits the income statement while the payable tracks settlement.",Done,Reference Law: ASC 710-10,For SaaS Startup 
Q020,Bookkeeping,What’s the entry for SaaS revenue collected through Shopify?,"Shopify-collected SaaS revenue is recorded gross: Dr Cash (net funds), Dr Merchant Fees, Cr Sales Revenue, paralleling the Stripe treatment and maintaining fee transparency and accurate KPIs.",Done,Reference Law: ASC 606 (gross presentation),For SaaS Startup 
Q021,Bookkeeping,How do I handle foreign currency transactions in our QuickBooks account?,"Foreign-currency transactions in QuickBooks should be recorded at the functional-currency equivalent on transaction date and remeasured at period-end, booking exchange gains/losses to Other Income, ensuring assets and liabilities reflect current FX rates and variances reach earnings.",Done,Reference Law: ASC 830-20,For SaaS Startup 
Q022,Bookkeeping,How should I book R&D tax credits in our books?,"R&D payroll tax credits earned should reduce income-tax expense (or payroll taxes if elected) via Dr Tax Receivable / Cr Income Tax Benefit, then offset against the liability when applied, preventing double counting and correctly presenting the credit as a tax benefit rather than revenue.",Done,Reference Law: IRC §41; ASC 740-10-25-31,For SaaS Startup 
Q023,Bookkeeping,What’s the correct entry for capitalizing laptops for engineering staff?,"Capitalizing engineering laptops involves Dr Computer Equipment (asset) / Cr Cash, followed by periodic depreciation Dr Depreciation Expense / Cr Accumulated Depreciation, reflecting multi-year benefit and preserving expense matching.",Done,Reference Law: ASC 360-10-35,For SaaS Startup 
Q024,Bookkeeping,How do I record the purchase of a Figma enterprise plan paid annually?,"An annual Figma enterprise plan paid upfront should be recorded as Prepaid Software (asset) and amortized monthly to Software Expense, mirroring treatment for prepaid services and preventing front-loading of cost.",Done,Reference Law: ASC 350-40,For SaaS Startup 
Q025,Bookkeeping,How do I handle chargebacks or failed payments in our books?,"Chargebacks or failed payments require reversing revenue and recording receivable write-offs or liabilities: Dr Sales Returns and Allowances, Cr Cash or Stripe Receivable, ensuring net revenue reflects actual earned amounts and bad debts are recognized promptly.",Done,Reference Law: ASC 606-10-55-23 (collectability),For SaaS Startup 
Q026,Bookkeeping,Should I accrue revenue when usage-based fees exceed the minimum plan?,"Usage-based fees earned above the minimum plan should be accrued when usage occurs: Dr Accounts Receivable / Cr Revenue, even if billed later, to match revenue with service delivery and avoid understating current-period income.",Done,Reference Law: ASC 606-10-55-18 through 55-21,For SaaS Startup 
Q027,Bookkeeping,How do I handle affiliate payouts made monthly?,"Monthly affiliate payouts should be accrued: Dr Marketing Expense / Cr Affiliate Payable as commissions accrue, then settled in cash, faithfully recognizing expenses in the period that related sales occur.",Done,Reference Law: ASC 705-20,For SaaS Startup 
Q028,Bookkeeping,What’s the proper entry for a business loan from a startup accelerator?,"A startup-accelerator loan proceeds entry is Dr Cash / Cr Notes Payable, then record periodic interest via Dr Interest Expense / Cr Interest Payable, honoring debt-classification rules and matching borrowing costs to periods benefited.",Done,Reference Law: ASC 470-10-25,For SaaS Startup 
Q029,Bookkeeping,"How do I track and record intercompany charges (e.g., if we have a Delaware C-corp and a foreign parent)?","Intercompany charges should be booked symmetrically—charging entity: Dr Due from Subsidiary / Cr Intercompany Revenue; receiving entity: Dr Expense / Cr Due to Parent—then eliminated in consolidation, preventing double counting and ensuring group statements show only external transactions.",Done,Reference Law: ASC 810-10-45-1,For SaaS Startup 
Q030,Bookkeeping,How should I record discounts or promotional credits offered to customers?,"Customer discounts or promotional credits reduce revenue, so record Dr Sales Discounts and Allowances (contra-revenue) and Cr Accounts Receivable or Cash, ensuring net sales reflect actual consideration expected and preventing inflated top-line figures.",Done,Reference Law: ASC 606-10-32-25 through 32-29,For SaaS Startup 
Q031,Tax,How should I handle sales tax for our SaaS product in different states?,"Sales tax on a SaaS product must be collected in any state where the company has nexus and the state taxes remotely delivered software, so you should check each jurisdiction’s rules, register where required, and charge customers the correct rate, because sales tax is generally a destination-based levy and many states now treat cloud software as taxable tangible personal property or a digital good; applying the correct rate prevents under-collection penalties and interest while preserving customer trust, and most businesses rely on tax-automation software to manage jurisdiction-level rates and exemptions, although final responsibility rests with the seller—consult a CPA or SALT specialist to confirm obligations in each state. However, specifics can change rapidly, so professional guidance is advised.",Done,"Reference Law: Wayfair v. South Dakota (U.S. Supreme Court 2018); state statutes such as Cal. Rev. & Tax Code §6010.9, N.Y. Tax Law §1105(a); Tex. Tax Code §151.0101; various economic-nexus statutes.",For SaaS Startup 
Q032,Tax,"Is our SaaS product taxable in California, New York, or Texas?","California and New York generally tax remotely accessed SaaS, whereas Texas exempts “pure” cloud subscriptions but taxes electronically transferred software, so SaaS access fees to California or New York customers are taxable while Texas may be exempt depending on downloadability and usage rights; recognizing this distinction ensures proper tax collection and avoids state audits, and regular monitoring of each state’s guidance is essential because interpretations evolve. Seek state-specific updates annually.",Done,Reference Law: Cal. CDTFA Special Notice L-698; N.Y. TSB-M-11(16)S; Tex. Comptroller Rule 3.344.,For SaaS Startup 
Q033,Tax,Do we need to register for sales tax nexus if we have remote employees in other states?,"If you employ remote workers, their presence usually creates physical nexus requiring sales-tax registration in that state, because an employee constitutes a substantial connection under Quill and reinforced by post-Wayfair guidance, so register promptly, collect tax, and file returns to avoid penalties; failure to register can trigger back taxes and personal liability for officers. Confirm each employee’s location and cross-check states’ rules.",Done,Reference Law: 26 U.S.C. § 6201; state nexus regulations such as N.J. Admin. Code 18:7-1.9.,For SaaS Startup 
Q034,Tax,How do I determine economic nexus thresholds for each state?,"Economic-nexus thresholds are determined by each state—commonly $100 000 in annual gross receipts or 200 separate transactions—so compare your prior- or current-year sales to each threshold and register once exceeded to comply with collection duties, because Wayfair authorized states to impose obligations without physical presence; companies often use automated dashboards to monitor thresholds monthly.",Done,Reference Law: S.D. Codified Laws §10-64-2 (the Wayfair model); similar statutes in most states.,For SaaS Startup 
Q035,Tax,What are the best practices for tracking sales tax liabilities across multiple states?,"Best practices for multi-state sales-tax tracking include using cloud tax engines that integrate with billing platforms, reconciling collected tax to liability accounts monthly, maintaining exemption certificates electronically, and scheduling calendar reminders for filing due dates, because automation reduces manual errors and ensures timely remittance; periodic nexus reviews and CPA SALT check-ups complete the control environment.",Done,"Reference Law: GAAP ASC 606 (principal/agent gross presentation); state record-keeping regulations, e.g., Cal. RTC §7053.",For SaaS Startup 
Q036,Tax,Can we claim the R&D tax credit for software development?,"Qualified software-development expenses can generally claim the federal R&D credit if they involve technological uncertainty, a systematic process, and aim for novel functionality or performance, allowing you to offset income tax (or up to $500 000 of payroll tax if in the five-year startup window), because IRC §41 rewards domestic innovation; keeping detailed project documentation and time tracking substantiates the claim.",Done,Reference Law: IRC §41; Reg. §1.41-4(a).,For SaaS Startup 
Q037,Tax,What expenses qualify for the federal R&D tax credit?,"Eligible R&D costs include U.S. wages for qualified development work, U.S. subcontractor fees (65 percent), supplies consumed in development, and certain cloud-computing costs used in experimentation, whereas general marketing or maintenance expenses do not qualify, so segregate labor and supply coding in your ERP for substantiation.",Done,Reference Law: IRC §41(b); Reg. §1.41-2.,For SaaS Startup 
Q038,Tax,How do we file Form 6765 for R&D tax credit?,"File the R&D credit on Form 6765 attached to your timely filed (including extensions) federal income-tax return, computing the credit under the regular or ASC method, electing payroll-tax offset on Part D if qualified, and include Form 8974 with quarterly payroll returns to monetize; late or amended claims are possible but may require detailed narratives per IRS Chief Counsel Memorandum 20214101F.",Done,Reference Law: IRC §41; Treas. Reg. §1.41-9.,For SaaS Startup 
Q039,Tax,When should we file a Form 1099-NEC for contractors?,"You must issue a Form 1099-NEC to each non-corporate U.S. contractor paid $600 or more in the calendar year, filed by January 31, because IRC §6041 requires information reporting on services; gather W-9s at onboarding to confirm tax classification and remit copies to contractors and the IRS (and states that require it).",Done,Reference Law: IRC §6041; Reg. §1.6041-1.,For SaaS Startup 
Q040,Tax,Do we need to issue 1099s for payments made through PayPal or Stripe?,"Payments processed through PayPal, Stripe, or other third-party networks are exempt from your 1099-NEC duty if the processor files a 1099-K, so review transaction statements and omit duplicative reporting; nonetheless, direct ACH or check payments still require your 1099-NEC issuance.",Done,Reference Law: IRC §6050W; IRS Pub 1220.,For SaaS Startup 
Q041,Tax,Are we required to file state franchise taxes even if we have no income?,"Many states levy a franchise- or margin-tax return even on zero-income entities, so file required reports to remain in good standing and avoid minimum-tax penalties; for example, Texas margins returns are due even with no tax due if revenue is under the threshold.",Done,Reference Law: Tex. Tax Code §171; Cal. RTC §23153.,For SaaS Startup 
Q042,Tax,How do Delaware franchise taxes work for a C-corp?,"Delaware C-corps owe an annual franchise-tax and report calculated either on authorized shares or assumed par value, with a minimum $225 and due March 1; failure to pay leads to penalties and loss of good standing, jeopardizing future financings.",Done,"Reference Law: Del. Code Tit. 8, §503-§509.",For SaaS Startup 
Q043,Tax,"Can we deduct software tools like Figma, Notion, and GitHub?","Ordinary software-as-a-service collaboration tools like Figma, Notion, GitHub are deductible business expenses under IRC §162 as they are ordinary and necessary, so capture and expense them monthly unless they are prepaid for over 12 months, in which case capitalize and amortize per the 12-month rule.",Done,Reference Law: IRC §162; Reg. §1.263(a)-4(f).,For SaaS Startup 
Q044,Tax,Is AWS spending deductible as a business expense?,"AWS usage fees are fully deductible operating expenses, because they are ordinary, necessary, and current-period costs of delivering the service; record them each month to Hosting Expense.",Done,Reference Law: IRC §162; Reg. §1.162-1.,For SaaS Startup 
Q045,Tax,Can we deduct meals and travel for our remote team’s offsite?,"Meals and travel for an all-hands offsite are 50 percent deductible if directly related to business, while lodging and transportation are 100 percent deductible, so segregate receipts and document business purpose; under TCJA, entertainment remains nondeductible.",Done,Reference Law: IRC §274(n); Notice 2021-25.,For SaaS Startup 
Q046,Tax,What tax forms do we need to file if we raised money from foreign investors?,"Raising funds from foreign investors does not change federal tax forms, but you must attach a pro-forma Form 5472 if a foreign shareholder owns 25 percent or more of voting stock, and may file Form 8938 if applicable, ensuring the IRS receives related-party transaction disclosure.",Done,Reference Law: IRC §6038A; Reg. §1.6038A-2.,For SaaS Startup 
Q047,Tax,How does SAFE or convertible note funding impact our tax filings?,"SAFEs and convertible notes generally have no tax impact until conversion, but any interest (for notes) is deductible to the company and taxable to holders; upon conversion no gain or loss is recognized if properly structured, but keep records for possible OID or Reg §1.1275-1 issues.",Done,Reference Law: IRC §354; Reg. §1.446-2.,For SaaS Startup 
Q048,Tax,Do we need to collect W-8BEN from international contractors?,"Collect W-8BEN forms from non-U.S. contractors to document foreign status and avoid backup withholding, then report any U.S.-sourced FDAP payments on Form 1042-S; failure can create withholding liability for the company.",Done,Reference Law: IRC §1441; Reg. §1.1441-1(e).,For SaaS Startup 
Q049,Tax,What are the federal filing deadlines for a calendar-year Delaware C-corp?,"Calendar-year Delaware C-corps file federal Form 1120 by April 15 (or Oct 15 with extension) and Delaware Annual Report/Franchise-Tax by March 1; many states require separate income/franchise filings aligned with fiscal year end, so maintain a compliance calendar.",Done,"Reference Law: IRC §6072(b); Del. Code Tit. 8, §502.",For SaaS Startup 
Q050,Tax,Are we eligible for the startup payroll tax credit for R&D?,"Startups under five years old and <$5 million gross receipts can elect to apply up to $500 000 of R&D credit against payroll-tax liability, so verify status and make the election on Form 6765 Part D to lower cash burn; excess credit carries forward 20 years.",Done,Reference Law: IRC §41(h).,For SaaS Startup 
Q051,Tax,How do we apply carryforward net operating losses (NOLs)?,"Net operating losses generated after 2017 can be carried forward indefinitely and offset up to 80 percent of taxable income each year, so track NOLs on Schedule K or Form 1120 and maintain detailed support to maximize future offsets; carrybacks are generally disallowed except for certain farming or insurance companies.",Done,Reference Law: IRC §172(a) and (b) as amended by TCJA and CARES Act.,For SaaS Startup 
Q052,Tax,Is revenue from customers outside the U.S. subject to U.S. income tax?,"Revenue from customers outside the U.S. is generally taxable domestic income for a U.S. corporation because residency, not source, dictates worldwide tax; however, foreign-derived intangible income (FDII) deductions may reduce the effective rate, so analyze foreign versus domestic profit split.",Done,Reference Law: IRC §11(d); §250.,For SaaS Startup 
Q053,Tax,How do we handle state income tax filings if we sell nationwide?,"Selling nationwide requires filing state income-tax or gross-receipts returns wherever you exceed economic-nexus thresholds, so monitor revenue by state, allocate payroll, and apportion income to avoid late-filing penalties; pass-throughs must file composite or withholding returns for owners in some jurisdictions.",Done,Reference Law: P.L. 86-272 limits on nexus; individual state income-tax statutes.,For SaaS Startup 
Q054,Tax,Can we deduct home office expenses if the founders work remotely?,"Home-office expenses for founders are deductible only if the space is used exclusively and regularly for business and is the principal place of business, so pass-through owners may take a Schedule C office deduction or C-corp can establish an accountable plan reimbursing rent, ensuring square-footage calculations and substantiation.",Done,Reference Law: IRC §280A(c)(1); Rev. Proc. 2013-13.,For SaaS Startup 
Q055,Tax,How should we record and deduct startup costs before incorporation?,"Startup costs incurred before incorporation can be capitalized and amortized: first $5 000 immediate deduction (phased out over $50 000) with the balance amortized over 15 years, preserving tax benefit while complying with capitalization rules—track receipts carefully.",Done,Reference Law: IRC §195.,For SaaS Startup 
Q056,Tax,Are we required to file Form 5472 for foreign shareholders?,"A U.S. corporation with 25 percent foreign ownership must file Form 5472 with Form 1120, reporting related-party transactions, or risk a $25 000 penalty; maintain intercompany documentation and timely e-file.",Done,Reference Law: IRC §6038A; Reg. §1.6038A-2.,For SaaS Startup 
Q057,Tax,Can Stripe or Gusto handle tax reporting automatically?,"Stripe and Gusto automate federal-state payroll or sales-tax filings, but the taxpayer remains liable for accuracy, so reconcile filings, validate nexus settings, and archive confirmations to satisfy IRS/state audits.",Done,Reference Law: IRC §6672 (trust-fund penalties).,For SaaS Startup 
Q058,Tax,Do we need to file estimated tax payments quarterly?,"Corporations and higher-income pass-throughs must pay quarterly estimated taxes if expected tax ≥ $500, so remit 25 percent of required annual amount by April 15, June 15, Sept 15, and Jan 15 (individual calendar); underpayment triggers §6655 penalties.",Done,Reference Law: IRC §6655; Reg. §1.6655-2.,For SaaS Startup 
Q059,Tax,What are the tax implications of issuing stock options?,"Nonqualified stock-options generate ordinary compensation expense for the company and wage income (plus withholding) to employees at exercise on the bargain element, while ISOs create no deduction but may cause AMT for employees; plan grants and 83(b) elections carefully to optimize tax consequences and avoid surprise liabilities.",Done,Reference Law: IRC §421-§424 (ISOs); §83 (nonqualified options).,For SaaS Startup 
Q060,Tax,How do we avoid double taxation when operating across multiple states?,"Double taxation across states is mitigated by apportioning income via three-factor or single-sales formulas, claiming credits for taxes paid to other states, and using P.L. 86-272 protection for solicitation-only activities, so model apportionment annually to minimize over-filing and maintain support for credit calculations.",Done,Reference Law: State UDITPA statutes; P.L. 86-272; IRC §901 (cross-credit concepts).,For SaaS Startup 
Q061,closing,What steps should we take to close our books at the end of the month?,"Closing your books each month starts with confirming all sales, expenses, and payroll are recorded, then reconciling every bank, credit-card, and payment-processor account, posting accruals such as depreciation, prepaid-expense amortization, and deferred-revenue releases, reviewing the general ledger for mis-codings, generating financial statements, and finally locking the period, because GAAP’s matching and cut-off principles require that revenue and cost be captured in the correct month while balance-sheet accounts agree to third-party statements; this disciplined workflow yields timely, reliable data for management and tax compliance, yet specific checklists vary by industry so engaging a CPA speeds design and oversight.",Done,Reference Law: FASB ASC 250-10-45 (periodicity) and ASC 606-10-25 (cut-off),For SaaS Startup 
Q062,closing,How do we reconcile Stripe deposits with our revenue records?,"Stripe deposits should be reconciled by matching each payout to the gross charges less fees and refunds—book revenue at gross, record merchant-fee expense separately, and tie the Stripe clearing account to the settlement report—because this gross-presentation approach preserves true sales figures and satisfies auditors who expect cash ledgers to match processor statements; automation tools or pivot-table cross-checks catch timing differences and prevent revenue under- or over-statement.",Done,Reference Law: ASC 606-10-55-36 through 55-40 (principal vs. agent),For SaaS Startup 
Q063,closing,What’s the best way to automate our monthly close process?,"Automating the monthly close is most effective when you integrate your general ledger with bank feeds, payment processors, and AP/expense platforms, schedule rules to auto-post recurring accruals, and deploy close-management software that assigns tasks and tracks sign-offs, because eliminating manual data entry and adding real-time dashboards shortens cycle time while improving control, yet human review of anomalies remains essential for GAAP compliance.",Done,Reference Law: COSO Internal-Control Framework; ASC 105-10-05-6 (reliability of information),For SaaS Startup 
Q064,closing,Should we accrue unpaid expenses at month-end?,"Accrue unpaid expenses at month-end whenever goods or services have been received but not yet invoiced or paid, since GAAP demands recognition when incurred rather than on payment date and postponing would inflate profit and understate liabilities; typical accruals include utilities, professional fees, and earned bonuses.",Done,Reference Law: ASC 450-20-25-2 (accrual for probable obligations),For SaaS Startup 
Q065,closing,How do we adjust deferred revenue during closing?,"Deferred-revenue balances should be reduced each close by recognizing the portion of subscription or service obligation delivered during the month—Dr Deferred Revenue, Cr Revenue—because ASC 606 requires revenue recognition as performance obligations are satisfied, and failing to release deferrals understates income and overstates liabilities.",Done,Reference Law: ASC 606-10-25-23,For SaaS Startup 
Q066,closing,What supporting documents should we keep for each journal entry?,"Every journal entry should be backed by contemporaneous documentation such as invoices, contracts, bank statements, or management estimates with calculation workpapers, retained electronically for at least seven years, because proper audit trails support GAAP assertions and IRS substantiation, while missing support can trigger adjustments or penalties.",Done,Reference Law: AICPA AU-C 230; IRC §6001,For SaaS Startup 
Q067,closing,How do we reconcile our bank accounts properly?,"Bank reconciliation entails comparing each book cash entry to the bank statement, listing outstanding checks and deposits in transit, adjusting for bank fees or interest, and ensuring the adjusted book balance equals the bank-confirmed amount, because this control detects errors or fraud and validates the cash figure on the balance sheet.",Done,Reference Law: COSO Control Activities; AU-C 240,For SaaS Startup 
Q068,closing,Should we close books on a cash or accrual basis?,"Accrual basis is the standard for GAAP financial statements and investor reporting because it matches revenues and expenses and reflects receivables and payables, whereas cash basis is permissible only for limited tax purposes or very small internal-use entities, so most venture-backed companies close on accrual.",Done,Reference Law: ASC 105-10; IRC §448,For SaaS Startup 
Q069,closing,How do we book adjusting entries for prepaid software tools?,"Prepaid annual software licenses should be capitalized to Prepaid Expense and amortized monthly—Dr Software Expense, Cr Prepaid—so each period bears only its fair share of cost, maintaining accurate expense matching and asset values.",Done,Reference Law: ASC 350-40-25-2,For SaaS Startup 
Q070,closing,What should we include in our monthly close checklist?,"A robust monthly close checklist includes closing schedule dates, responsibilities, sub-ledger tie-outs, bank and merchant reconciliations, inventory counts, accrual review, deferred-revenue roll-forward, fixed-asset additions, variance analysis, and management sign-off, because standardized lists reduce omissions and accelerate audits.",Done,Reference Law: PCAOB AS 2201 (control activities),For SaaS Startup 
Q071,closing,How do we ensure our fixed assets are up to date?,"Fixed-asset accuracy is ensured by recording additions with capitalization threshold policy, tagging assets, reconciling the sub-ledger to general-ledger balances each month, and posting monthly depreciation, preventing both phantom assets and missed write-offs.",Done,Reference Law: ASC 360-10-35,For SaaS Startup 
Q072,closing,How do we verify accounts receivable balances?,"Accounts-receivable balances should be verified by aging reports, customer confirmations for material amounts, and reconciliation of the sub-ledger to the control account, safeguarding that revenue and cash expectations are reasonable and that doubtful accounts are reserved timely.",Done,Reference Law: ASC 326-20,For SaaS Startup 
Q073,closing,How do we handle intercompany transactions during consolidation?,"During consolidation, intercompany revenues and expenses are eliminated by posting equal but opposite entries, and intercompany balances are offset, because consolidated GAAP statements should present only transactions with external parties; mismatches trigger plug entries and root-cause analysis.",Done,Reference Law: ASC 810-10-45-1,For SaaS Startup 
Q074,closing,Do we need to calculate and record depreciation monthly?,Depreciation should be calculated and recorded monthly for material fixed assets because systematic expense allocation yields smoother results and avoids a year-end lump-sum that would distort interim profitability; modern ERPs automate depreciation schedules.,Done,Reference Law: ASC 360-10-35-4,For SaaS Startup 
Q075,closing,How do we reconcile payroll journal entries from Gusto?,"Payroll from Gusto is reconciled by agreeing gross pay, taxes, and net pay per Gusto reports to the payroll-expense, tax-liability, and cash entries in the GL, ensuring that wages, withholdings, and company taxes are completely and accurately recorded.",Done,Reference Law: ASC 720-15,For SaaS Startup 
Q076,closing,What’s the right way to record unearned revenue during close?,"Unearned revenue is recorded at contract inception and relieved ratably or on milestones as service is provided, ensuring liabilities and revenues reflect remaining obligations and delivered value in compliance with ASC 606.",Done,Reference Law: ASC 606-10-25,For SaaS Startup 
